,total,baseTotal,mcc,baseCurrency,date,currency,merchant
0,5.0,5.0,5993.0,EUR,2019-02-14 10:42:29.195,EUR,ESTANCO HERNAN
1,2.9,2.9,5814.0,EUR,2019-02-21 08:31:30.714,EUR,STARBUCKS COFFEE
2,12.0,12.0,5812.0,EUR,2019-03-05 12:22:16.925,EUR,FARO FINISTERRE
3,15.0,13.2,,EUR,2019-03-06 23:00:00.000,CHF,Migros
4,3.45,3.45,5812.0,EUR,2019-03-13 07:44:45.235,EUR,VIRREY SAN
5,12.0,12.0,5812.0,EUR,2019-03-13 12:46:12.073,EUR,FARO FINISTER
6,15.0,15.0,5814.0,EUR,2019-03-14 11:58:24.024,EUR,MIGUEL ANGEL
7,12.04,12.04,5977.0,EUR,2019-03-14 12:09:55.074,EUR,DRUNI MADRID
8,6.4,6.4,,EUR,2019-05-22 20:57:00.000,EUR,Radio Taxi
9,10.0,10.0,,EUR,2019-05-22 22:00:00.000,EUR,Taxi Cartagena
10,1.11,1.11,,EUR,2019-05-31 10:10:00.000,EUR,Marcial
11,4.65,4.65,5812.0,GBP,2019-02-06 12:53:55.205,GBP,PRET MANGER
12,12.95,12.95,5499.0,GBP,2019-06-05 15:06:29.528,GBP,BAYLEY SAGE
13,254.67,254.67,,EUR,2019-06-14 22:00:00.000,EUR,Air Europa
14,1.0,1.12,8999.0,EUR,2019-06-18 06:48:37.624,GBP,Card verification
15,1.19,1.34,8999.0,EUR,2019-06-18 06:48:47.308,GBP,Curv
16,0.1,0.11,4111.0,EUR,2019-06-18 09:40:47.090,GBP,TfL Travel
17,3.8,4.27,5812.0,EUR,2019-06-18 10:04:55.494,GBP,EAT LTD
18,24.75,27.79,5812.0,EUR,2019-06-18 11:23:09.280,GBP,DISHOOM SHOREDIT
19,15.0,16.81,5812.0,EUR,2019-06-18 16:48:18.674,GBP,JUGGED HARE
20,5.5,6.16,5812.0,EUR,2019-06-18 15:09:51.693,GBP,JUGGED HARE
21,6.55,7.34,5814.0,EUR,2019-06-19 06:43:26.913,GBP,STARBUCKS GATWICK
22,8.38,8.38,5813.0,GBP,2019-06-19 13:06:58.216,GBP,RODILLA GRAN
23,1.0,1.12,8999.0,EUR,2019-06-19 15:26:52.547,GBP,Card verification
24,1.0,1.12,8999.0,EUR,2019-06-19 15:27:27.284,GBP,Card verification
25,0.52,0.52,8999.0,EUR,2019-06-19 15:27:39.868,EUR,Curv
26,5.2,5.8100000000000005,4111.0,EUR,2019-06-20 01:48:28.766,GBP,TFL TRAVEL
27,8.67,8.67,4511.0,GBP,2019-06-24 07:44:07.568,GBP,AIRSHOP SOLUTIONS
28,1.0,1.12,8999.0,EUR,2019-06-24 07:12:30.860,GBP,Card verification
29,0.14,0.14,8999.0,EUR,2019-06-24 07:12:40.344,EUR,Curv
30,1.0,1.0,5734.0,EUR,2019-06-28 09:18:42.109,EUR,WWW.SAGE.COM EUR
31,1.0,1.0,5734.0,EUR,2019-06-28 09:28:25.547,EUR,WWW.SAGE.COM EUR
32,20.0,20.0,5734.0,EUR,2019-06-29 10:00:37.613,EUR,WWW.SAGE.COM EUR
33,7.25,7.25,,EUR,2019-07-01 08:00:00.000,EUR,Palacio municipal
34,1.42,1.42,8999.0,GBP,2019-07-03 04:43:02.582,GBP,Curv
35,2.65,2.65,5814.0,GBP,2019-07-03 04:48:05.643,GBP,STARBUCKS
36,7.59,7.59,7011.0,GBP,2019-07-03 13:25:27.490,GBP,NICK
37,156.8,156.8,4112.0,EUR,2019-07-04 10:24:27.460,EUR,RENFE VIRTUAL
38,1.25,1.25,7372.0,GBP,2019-07-05 07:48:05.498,GBP,SQ *LUM
39,1.25,1.25,,GBP,2019-07-04 23:00:00.000,GBP,Taxi ltd
40,1.67,1.67,7372.0,GBP,2019-07-05 12:00:23.942,GBP,SQ *LUM
41,1.73,1.73,7372.0,GBP,2019-07-05 13:03:12.398,GBP,SQ *LUM
42,1.23,1.23,7372.0,GBP,2019-07-05 13:09:07.138,GBP,SQ *LUM
43,1.19,1.19,7372.0,GBP,2019-07-05 13:20:54.795,GBP,SQ *LUM
44,20.0,17.78,5734.0,EUR,2019-07-09 03:53:17.998,USD,Twilio 34ONA0FR90I
45,1.0,0.89,7399.0,EUR,2019-07-09 06:28:25.330,USD,AWS EMEA
46,25.03,25.03,5947.0,EUR,2019-07-09 07:59:33.093,EUR,STICKERMULE.COM DUBLIN
47,1.44,1.44,7372.0,GBP,2019-07-09 11:43:49.741,GBP,SQ *LUM
48,1.0,1.11,8999.0,EUR,2019-07-09 11:39:00.420,GBP,Card verification
49,1.18,1.18,7372.0,GBP,2019-07-09 14:06:40.509,GBP,SQ *LUM
50,127.75,127.75,,EUR,2019-07-09 20:00:00.000,EUR,Tabernas bienmesabe
51,37.55,37.55,,EUR,2019-07-09 13:00:00.000,EUR,Ghanafana
52,1.0,1.12,8999.0,EUR,2019-07-09 22:08:30.293,GBP,Card verification
53,0.5700000000000001,0.5700000000000001,8999.0,EUR,2019-07-10 10:35:31.099,EUR,Curv
54,5.5,5.5,,EUR,2019-07-10 08:00:00.000,EUR,TAXI A.P.C
55,11.0,11.0,,EUR,2019-07-10 11:00:00.000,EUR,Ferrovial Servicios
56,0.76,0.76,8999.0,EUR,2019-07-10 09:48:40.962,EUR,Curv
57,2.7,2.7,,EUR,2019-07-09 22:00:00.000,EUR,Ferrovial Servicios
58,9.0,9.0,4121.0,EUR,2019-07-10 13:06:01.677,EUR,TAXI 37
59,16.8,16.8,5813.0,EUR,2019-07-10 18:46:27.289,EUR,PASTELERIA ZAHER
60,3.7,3.7,5812.0,EUR,2019-07-11 04:51:20.904,EUR,CAFE BAR
61,2.11,2.11,7372.0,GBP,2019-07-11 09:18:37.720,GBP,SQ *LUM
62,1.25,1.25,,GBP,2019-07-10 23:00:00.000,GBP,Black cab
63,8.7,8.7,,EUR,2019-07-11 18:00:00.000,EUR,Ferrovial servicios
64,26.1,26.1,4121.0,EUR,2019-07-11 17:42:57.961,EUR,TERESA NIETO
65,2.48,2.48,7372.0,GBP,2019-07-12 07:32:36.221,GBP,SQ *LUM
66,3.9,3.9,5814.0,EUR,2019-07-12 08:23:10.234,EUR,MCDONALDS PLAZA
67,7.02,7.02,7512.0,EUR,2019-07-12 11:20:49.411,EUR,ZITY Madrid
68,13.2,13.2,5734.0,GBP,2019-07-13 03:43:57.887,GBP,XERO UK
69,12.22,12.22,7512.0,EUR,2019-07-15 06:05:18.003,EUR,ZITY Madrid
70,2.79,2.79,5812.0,GBP,2019-07-16 09:10:49.613,GBP,PRET MANGER
71,178.95,178.95,5812.0,EUR,2019-07-16 15:00:41.524,EUR,VIEJO ALMACEN
72,26.1,26.1,4121.0,EUR,2019-07-17 06:22:11.478,EUR,LICENCIA 2560
73,1.67,1.67,7372.0,GBP,2019-07-17 07:21:35.637,GBP,SQ *LUM
74,9.35,9.35,,GBP,2019-07-16 23:00:00.000,GBP,SSP UK
75,1.11,1.11,4111.0,EUR,2019-07-17 12:00:28.976,EUR,TfL Travel
76,1.01,1.12,7372.0,EUR,2019-07-18 11:06:35.711,GBP,SQ *LUM
